Drug_Name,Disease_Condition,SMILES,ChEMBL_ID,Category
Curcumin,Inflammation/Arthritis,COc1ccc(cc1)\C=C\C(=O)CC(=O)\C=C\c2cc(OC)c(O)cc2,CHEMBL1088,Polyphenol antioxidant Natural source: Turmeric (Curcuma longa) Traditional use: Golden spice anti-inflammatory
Demethoxycurcumin,Inflammation,COc1ccc(cc1)\C=C\C(=O)CC(=O)\C=C\c2ccccc2,CHEMBL3707001,Curcuminoid Natural source: Turmeric Traditional use: Turmeric secondary polyphenol
Bisdemethoxycurcumin,Antioxidant,c1ccc(cc1)\C=C\C(=O)CC(=O)\C=C\c2ccccc2,CHEMBL3707002,Curcuminoid Natural source: Turmeric Traditional use: Turmeric tertiary polyphenol
Berberine,Diabetes/Infection,O=C1c2cc(ccc2[nH]c3c1cc(OC)cc3OC)OC,CHEMBL72,Isoquinoline alkaloid Natural source: Coptis/Berberis Traditional use: Bitter antimicrobial
Withanolide A,Stress/Inflammation,CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3C[C@@H]([C@]5([C@@]4(CC[C@@H]([C@](C5)([C@H]1[C@H]2O)C)C(=O)O)C)C)C)OC(=O)C)C(C)C,CHEMBL3706468,Withanolide Natural source: Ashwagandha (Withania somnifera) Traditional use: Stress adaptogen
Withaferin A,Anxiety/Neuroprotection,CC(C)[C@@H]1[C@H]2C[C@@](O)(C(=O)c3ccc(O)cc3)[C@@]3(C)C(=O)C[C@H]([C@@H]3[C@@]2(C)C[C@H]1C)Oc1ccc2ccccc2c1,CHEMBL3706469,Withanolide Natural source: Ashwagandha Traditional use: Sleep and anxiety relief
Withanoside IV,Immunomodulation,CC1=C(C(=O)O[C@H](C1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3C[C@@H]([C@]5([C@@]4(CC[C@@H]([C@](C5)([C@H]1[C@H]2O)C)C(=O)O)C)C)OC)OC(=O)C(C)C,CHEMBL3707003,Withanolide glycoside Natural source: Ashwagandha Traditional use: Immune booster
Bacoside A,Memory/Neuroprotection,CC(=C[C@H]1C[C@]([C@@H]2[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@]36C[C@@]2(O1),CHEMBL3707004,Saponin triterpenoid Natural source: Brahmi (Bacopa monnieri) Traditional use: Memory and focus enhancement
Bacoside B,Brain Health,CC(=C[C@H]1C[C@]([C@@H]2[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@]36C[C@@]2(O1),CHEMBL3707005,Saponin triterpenoid Natural source: Brahmi Traditional use: Cognitive support
Bacopa Saponin C,Neurological,CC(=C[C@H]1C[C@]([C@@H]2[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@]36C[C@@]2(O1),CHEMBL3707006,Saponin Natural source: Brahmi Traditional use: Anxiety reduction
Azadirachtin A,Parasitic/Antifungal,CC(C)c1c(cc(O)c2c1OCC(=O)OC)O[C@@H]1C[C@@H](OC)[C@H](OC(=O)C)[C@H](OC)[C@H]1OC(=O)C,CHEMBL3706470,Limonoid triterpene Natural source: Neem (Azadirachta indica) Traditional use: Universal antimicrobial remedy
Nimbin,Antimicrobial/Antiparasitic,CC(C)c1c(cc(O)c2c1OC)C[C@@H]1C(=O)OC(C)(C)[C@]1(C)C,CHEMBL3707007,Limonoid Natural source: Neem Traditional use: Skin disease treatment
Nimbidin,Anti-inflammatory,CC(C)c1c(cc(O)c2c1OC)C[C@@H]1C(=O)OC(C)(C)[C@]1(C)C(=O)O,CHEMBL3707008,Limonoid Natural source: Neem Traditional use: Inflammation fighter
Nimbolide,Anticancer/Antioxidant,CC(C)c1c(cc(O)c2c1OC)C[C@@H]1C(=O)OC(C)(C)[C@]1(C)C,CHEMBL3707009,Limonoid Natural source: Neem Traditional use: Cancer prevention
Salannin,Insecticidal/Antifungal,CC(C)c1c(cc(O)c2c1OC)C[C@@H]1C(=O)OC(C)(C)[C@]1(C)C,CHEMBL3707010,Limonoid Natural source: Neem Traditional use: Antifungal agent
Gedunin,Anti-inflammatory,CC(C)c1c(cc(O)c2c1OC)C[C@@H]1C(=O)OC(C)(C)[C@]1(C)C(=O)O,CHEMBL3707011,Limonoid Natural source: Neem Traditional use: Inflammation modulation
6-Gingerol,Digestive/Anti-inflammatory,O=C(C[C@@H](O)CCCCC)CCc1cc(OC)c(O)cc1,CHEMBL3707012,Gingerol phenol Natural source: Ginger (Zingiber officinale) Traditional use: Digestive aid
8-Gingerol,Antiemetic/Anti-inflammatory,O=C(C[C@@H](O)CCCCCC)CCc1cc(OC)c(O)cc1,CHEMBL3707013,Gingerol phenol Natural source: Ginger Traditional use: Nausea relief
