source,n_elements,doping_concentration,name,termination,space_group,doping_level,volume_fraction,weight_percent,lattice_c,temperature,reinforcement,matrix,layers,material_id,molecular_weight,deposition_method,type,lattice_b,pdi,formula,composition,lattice_a,thickness_nm,dopant,substrate
Systematic_Generation,,,LiO,,P21/c,,,,5.188,,,,,BIN_000001,,,Binary_Oxide,8.078,,LiO,Li:O = 1:1,5.888,,,
Systematic_Generation,,,Li2O,,R-3m,,,,8.455,,,,,BIN_000002,,,Binary_Oxide,6.623,,Li2O,Li:O = 2:1,9.571,,,
Systematic_Generation,,,LiO2,,R-3m,,,,12.888,,,,,BIN_000003,,,Binary_Oxide,6.872,,LiO2,Li:O = 1:2,9.099,,,
Systematic_Generation,,,Li2O3,,Fm-3m,,,,6.011,,,,,BIN_000004,,,Binary_Oxide,6.621,,Li2O3,Li:O = 2:3,4.461,,,
Systematic_Generation,,,LiO3,,Pnma,,,,11.359,,,,,BIN_000005,,,Binary_Oxide,9.265,,LiO3,Li:O = 1:3,9.648,,,
Systematic_Generation,,,Li3O2,,Fm-3m,,,,14.483,,,,,BIN_000006,,,Binary_Oxide,7.896,,Li3O2,Li:O = 3:2,9.648,,,
Systematic_Generation,,,Li3O4,,Pnma,,,,3.11,,,,,BIN_000007,,,Binary_Oxide,8.553,,Li3O4,Li:O = 3:4,7.582,,,
Systematic_Generation,,,Li2O5,,Pnma,,,,7.923,,,,,BIN_000008,,,Binary_Oxide,6.33,,Li2O5,Li:O = 2:5,8.396,,,
Systematic_Generation,,,LiO4,,Pnma,,,,9.104,,,,,BIN_000009,,,Binary_Oxide,8.776,,LiO4,Li:O = 1:4,5.119,,,
Systematic_Generation,,,NaO,,P21/c,,,,4.112,,,,,BIN_000010,,,Binary_Oxide,9.544,,NaO,Na:O = 1:1,5.972,,,
Systematic_Generation,,,Na2O,,R-3m,,,,9.586,,,,,BIN_000011,,,Binary_Oxide,6.25,,Na2O,Na:O = 2:1,3.411,,,
Systematic_Generation,,,NaO2,,Pnma,,,,12.675,,,,,BIN_000012,,,Binary_Oxide,8.471,,NaO2,Na:O = 1:2,7.554,,,
Systematic_Generation,,,Na2O3,,Pnma,,,,4.909,,,,,BIN_000013,,,Binary_Oxide,6.806,,Na2O3,Na:O = 2:3,5.673,,,
Systematic_Generation,,,NaO3,,Pnma,,,,6.743,,,,,BIN_000014,,,Binary_Oxide,3.461,,NaO3,Na:O = 1:3,6.417,,,
Systematic_Generation,,,Na3O2,,P21/c,,,,8.812,,,,,BIN_000015,,,Binary_Oxide,7.85,,Na3O2,Na:O = 3:2,6.331,,,
Systematic_Generation,,,Na3O4,,Pnma,,,,4.458,,,,,BIN_000016,,,Binary_Oxide,8.417,,Na3O4,Na:O = 3:4,3.745,,,
Systematic_Generation,,,Na2O5,,R-3m,,,,11.702,,,,,BIN_000017,,,Binary_Oxide,8.071,,Na2O5,Na:O = 2:5,5.261,,,
Systematic_Generation,,,NaO4,,P21/c,,,,13.104,,,,,BIN_000018,,,Binary_Oxide,8.827,,NaO4,Na:O = 1:4,5.152,,,
Systematic_Generation,,,KO,,Fm-3m,,,,11.969,,,,,BIN_000019,,,Binary_Oxide,3.758,,KO,K:O = 1:1,7.436,,,
Systematic_Generation,,,K2O,,R-3m,,,,7.519,,,,,BIN_000020,,,Binary_Oxide,4.837,,K2O,K:O = 2:1,8.089,,,
